"room_type","price","minimum_nights","number_of_reviews","reviews_per_month","calculated_host_listings_count","availability_365"
"Entire home/apt",300,3,39,0.75,3,216
"Entire home/apt",95,3,76,0.79,1,0
"Entire home/apt",103,5,138,1.44,3,160
"Other",133,1,182,1.9,4,0
"Other",70,2,48,0.59,1,88
"Entire home/apt",225,21,34,0.36,2,37
"Entire home/apt",175,5,69,0.72,1,13
"Entire home/apt",103,2,393,4.12,1,52
"Entire home/apt",110,3,340,3.57,3,334
"Entire home/apt",98,2,404,4.25,2,142
"Entire home/apt",214,1,142,1.52,1,0
"Entire home/apt",85,2,319,3.35,1,0
"Entire home/apt",91,7,105,1.1,3,162
"Entire home/apt",93,2,233,3.96,1,227
"Entire home/apt",62,30,6,0.06,3,330
"Entire home/apt",82,28,5,0.05,3,362
"Entire home/apt",112,1,721,7.63,2,306
"Entire home/apt",75,60,17,0.18,1,132
"Entire home/apt",285,2,9,0.57,1,15
"Other",60,30,21,0.23,4,344
"Entire home/apt",450,2,176,1.88,1,246
"Entire home/apt",103,2,396,4.18,1,234
"Entire home/apt",200,4,26,0.31,2,278
"Other",87,2,57,0.61,1,119
"Entire home/apt",199,1,393,4.19,1,237
"Entire home/apt",396,2,50,0.53,1,183
"Entire home/apt",68,1,376,4.02,1,92
"Entire home/apt",68,30,6,0.06,3,148
"Entire home/apt",93,1,555,5.89,1,171
"Entire home/apt",93,1,63,0.67,1,364
"Entire home/apt",157,2,248,2.66,1,147
"Entire home/apt",98,30,201,2.15,1,309
"Entire home/apt",84,30,64,0.69,1,63
"Other",73,1,230,2.46,1,53
"Other",371,2,57,0.62,2,365
"Entire home/apt",240,2,423,4.55,3,291
"Entire home/apt",150,2,270,2.88,1,315
"Entire home/apt",250,2,180,1.93,1,288
"Entire home/apt",70,28,232,2.69,1,199
"Entire home/apt",234,3,5,0.14,1,337
"Entire home/apt",165,2,114,1.22,1,352
"Entire home/apt",128,1,587,6.37,2,330
"Entire home/apt",126,1,398,4.29,1,179
"Entire home/apt",179,2,322,3.71,1,0
"Entire home/apt",230,3,81,0.92,1,108
"Other",99,2,59,0.95,1,254
"Entire home/apt",124,2,276,3.04,3,232
"Entire home/apt",60,30,12,0.16,1,0
"Entire home/apt",134,3,252,2.93,2,63
"Entire home/apt",249,3,25,0.28,1,194
"Entire home/apt",311,2,144,1.63,2,345
"Entire home/apt",225,2,88,1.88,3,68
"Other",43,1,116,1.33,3,0
"Entire home/apt",125,2,371,4.27,1,307
"Entire home/apt",114,2,77,0.87,3,289
"Entire home/apt",195,2,39,0.45,1,340
"Other",77,1,76,0.89,1,365
"Entire home/apt",87,1,271,3.08,1,61
"Entire home/apt",94,1,323,4.4,1,145
"Entire home/apt",155,2,179,2.05,2,326
"Entire home/apt",117,3,328,3.79,1,332
"Entire home/apt",146,5,132,1.54,2,187
"Entire home/apt",125,2,101,1.42,1,0
"Other",130,2,111,1.26,1,365
"Other",78,2,85,0.96,1,65
"Entire home/apt",149,2,294,3.63,1,255
"Entire home/apt",199,7,65,0.74,1,145
"Entire home/apt",117,1,428,4.84,4,0
"Entire home/apt",97,2,235,2.81,2,326
"Entire home/apt",225,2,119,1.35,2,11
"Entire home/apt",178,2,178,2.52,1,35
"Entire home/apt",145,2,74,0.84,2,327
"Entire home/apt",142,2,316,3.76,1,299
"Entire home/apt",90,30,9,0.1,3,110
"Entire home/apt",97,2,281,3.27,2,332
"Entire home/apt",220,2,217,2.49,2,349
"Entire home/apt",75,30,37,0.42,3,264
"Entire home/apt",240,2,190,2.29,1,293
